Topic,Title,Relevant Docs,Retrieved Docs,rel @100,rel @20,rel @10,rel @5
451,What is a Bengals cat?,22,100,6,5,2,1
452,do beavers live in salt water,269,100,0,0,0,0
453,hunger,103,100,5,3,3,2
454,parkinson's disease,140,100,19,9,6,5
455,whan did Jackie Robinson appear at his first game,24,100,8,7,7,5
456,is the world going to end 2000,14,100,0,0,0,0
457,CHEVROLET TRUCKS,69,100,2,0,0,0
458,fasting,35,100,9,3,2,1
459,when can a lender foreclose on property,43,100,11,6,4,3
461,lava lamps,4,100,0,0,0,0
462,real estate and new jersey,30,100,0,0,0,0
465,deer,36,100,5,1,0,0
466,information about the Peer Gynt Suite?,2,100,0,0,0,0
467,dachshund dachshunds "wiener dog",60,100,0,0,0,0
468,incandescent light bulb,29,100,0,0,0,0
469,steinbach nutcracker,11,100,0,0,0,0
470,mistletoe,16,100,3,2,1,1
471,mexican food culture,8,100,1,1,1,0
472,antique appliance restoration,29,100,9,3,3,2
473,Toronto FIlm Awards,1,100,0,0,0,0
474,how e-mail bennefits businesses,59,100,0,0,0,0
475,what is the compostion of zirconium,45,100,3,2,2,2
476,Jennifer Aniston,94,100,15,6,5,2
477,Royal Carribean Cruise Lines,2,100,0,0,0,0
478,baltimore,99,100,1,0,0,0
479,where can I find information about kappa alpha psi?,68,100,12,6,3,1
480,car traffic report,19,100,5,0,0,0
481,what did babe ruth do in the 1920's?,31,100,4,3,1,1
482,where can i find growth rates for the pine tree?,8,100,3,2,1,1
483,rosebowl parade,16,100,2,2,2,2
484,auto skoda,13,100,1,0,0,0
485,gps clock,2,100,0,0,0,0
486,where is the Eldorado Casino in Reno?,4,100,1,1,1,1
488,newport beach california,35,100,3,0,0,0
490,motorcycle safety helmets,61,100,9,3,1,0
491,Japanese Wave,21,100,1,1,1,0
493,retire,45,100,0,0,0,0
494,nirvana ,195,100,19,5,5,3
495,Where can I find information on the decade of the 1920's?,519,100,3,0,0,0
496,TMJ,18,100,3,2,2,1
497,orchid,9,100,0,0,0,0
498,hair transplant,6,100,0,0,0,0
499,pool cue,3,100,1,1,1,0
500,DNA Testing,62,100,4,0,0,0
