Topic,Title,Relevant Docs,Retrieved Docs,rel @100,rel @20,rel @10,rel @5
451,What is a Bengals cat?,22,100,12,8,6,4
452,do beavers live in salt water,269,100,11,5,4,3
453,hunger,103,100,34,4,1,0
454,parkinson's disease,140,100,38,6,1,1
455,whan did Jackie Robinson appear at his first game,24,100,11,3,2,2
456,is the world going to end 2000,14,100,0,0,0,0
457,CHEVROLET TRUCKS,69,100,13,5,3,1
458,fasting,35,100,10,1,1,0
459,when can a lender foreclose on property,43,100,13,7,5,4
461,lava lamps,4,100,3,3,3,3
462,real estate and new jersey,30,100,7,4,4,4
465,deer,36,100,1,0,0,0
466,information about the Peer Gynt Suite?,2,100,2,1,1,1
467,dachshund dachshunds "wiener dog",60,100,17,4,3,3
468,incandescent light bulb,29,100,3,1,1,0
469,steinbach nutcracker,11,100,2,0,0,0
470,mistletoe,16,100,3,2,1,0
471,mexican food culture,8,100,2,1,1,0
472,antique appliance restoration,29,100,4,1,1,0
473,Toronto FIlm Awards,1,100,0,0,0,0
474,how e-mail bennefits businesses,59,100,0,0,0,0
475,what is the compostion of zirconium,45,100,17,6,1,1
476,Jennifer Aniston,94,100,33,3,2,1
477,Royal Carribean Cruise Lines,2,100,0,0,0,0
478,baltimore,99,100,0,0,0,0
479,where can I find information about kappa alpha psi?,68,100,10,3,1,1
480,car traffic report,19,100,0,0,0,0
481,what did babe ruth do in the 1920's?,31,100,9,0,0,0
482,where can i find growth rates for the pine tree?,8,100,4,2,2,2
483,rosebowl parade,16,100,2,0,0,0
484,auto skoda,13,100,7,3,2,1
485,gps clock,2,100,2,2,2,0
486,where is the Eldorado Casino in Reno?,4,100,4,3,3,2
488,newport beach california,35,100,3,0,0,0
490,motorcycle safety helmets,61,100,11,3,3,1
491,Japanese Wave,21,100,0,0,0,0
493,retire,45,100,0,0,0,0
494,nirvana ,195,100,17,5,1,1
495,Where can I find information on the decade of the 1920's?,519,100,0,0,0,0
496,TMJ,18,100,12,3,3,2
497,orchid,9,100,2,0,0,0
498,hair transplant,6,100,1,1,1,0
499,pool cue,3,100,2,1,1,1
500,DNA Testing,62,100,7,2,0,0
